AAPL,ARKK,DIA,EFA,F,GM,GOOGL,IWM,MCD,MSFT,NVDA,QQQ,SBUX,SPY,TSLA,VOO,VTI,WMT,XLF,XLK,^GSPC
112.11251068115234,102.75624084472656,275.07867431640625,61.557064056396484,7.170201301574707,44.91557693481445,87.59087371826172,173.2781524658203,196.01466369628906,205.20716857910156,12.918315887451172,285.6124267578125,87.83190155029297,338.6156921386719,185.1266632080078,310.2574157714844,174.60646057128906,47.062808990478516,26.23811912536621,116.99334716796875,3635.409912109375
112.94965362548828,105.02164459228516,273.53118896484375,61.47937774658203,6.889463424682617,43.948822021484375,87.60230255126953,172.68556213378906,195.68458557128906,205.21681213378906,13.194473266601562,287.3680114746094,87.74256896972656,338.0936584472656,191.3333282470703,309.74609375,174.5413360595703,47.20893859863281,26.146562576293945,117.24319458007812,3629.64990234375
113.49480438232422,108.2164306640625,273.9890441894531,61.90235137939453,6.897050380706787,43.56211853027344,88.73895263671875,173.4192352294922,194.78355407714844,206.52175903320312,13.220890998840332,290.0158996582031,88.1535873413086,339.03521728515625,195.25332641601562,310.6292419433594,175.15560913085938,47.13742446899414,26.064170837402344,117.86780548095703,3638.35009765625
115.88949584960938,108.78762817382812,271.5902099609375,60.55571365356445,6.889463424682617,42.38267517089844,87.11912536621094,170.2682342529297,195.14251708984375,205.4086456298828,13.360713958740234,290.6075439453125,87.58172607421875,337.5342712402344,189.1999969482422,309.2348327636719,173.778076171875,47.5074462890625,25.524028778076172,118.65576171875,3621.6298828125
119.46207427978516,109.16519165039062,273.2564697265625,61.98005294799805,7.010861873626709,43.19474792480469,89.15310668945312,171.8484649658203,193.97581481933594,207.46206665039062,13.349250793457031,294.3320007324219,88.29652404785156,341.2260437011719,194.9199981689453,312.63726806640625,175.98403930664062,47.46080017089844,25.91769790649414,120.17404174804688,3662.449951171875
119.81251525878906,108.75857543945312,273.9341735839844,61.988670349121094,6.980513095855713,43.09808349609375,90.62345123291016,172.02716064453125,189.2372283935547,206.6560821533203,13.503279685974121,294.7102966308594,88.376953125,341.9439392089844,189.60667419433594,313.2973327636719,176.13291931152344,46.8016242980957,26.20149803161621,119.99147033691406,3669.010009765625
119.67622375488281,110.63673400878906,274.73992919921875,62.092254638671875,6.988097667694092,42.62437057495117,90.46803283691406,172.9959716796875,189.82061767578125,205.5718231201172,13.359175682067871,295.1274108886719,89.44915008544922,341.8507080078125,197.7933349609375,313.2043762207031,176.48666381835938,46.42228698730469,26.21065330505371,119.9145736694336,3666.719970703125
119.00453186035156,113.45396423339844,277.056396484375,62.61884689331055,7.086737155914307,42.9240608215332,90.56339263916016,177.0217742919922,189.12954711914062,205.68692016601562,13.520981788635254,296.3300476074219,91.3880844116211,344.79669189453125,199.67999267578125,315.9002380371094,178.2551727294922,46.3010139465332,26.53107452392578,121.11573028564453,3699.1201171875
120.46471405029297,116.83270263671875,275.692138671875,62.10952377319336,6.995687484741211,42.837059020996094,90.22917938232422,177.19107055664062,187.46925354003906,205.61976623535156,13.569344520568848,298.0080871582031,90.6107406616211,344.0881042480469,213.9199981689453,315.3145751953125,178.05967712402344,46.052276611328125,26.347976684570312,121.46168518066406,3691.9599609375
121.07801055908203,118.27519989013672,276.6993408203125,62.325340270996094,7.018448829650879,42.34400177001953,89.94613647460938,179.46731567382812,187.0205535888672,207.27017211914062,13.313302993774414,299.0167541503906,90.4320068359375,345.09490966796875,216.6266632080078,316.2256774902344,178.8322296142578,46.46892547607422,26.338825225830078,121.85565185546875,3702.25
118.5470199584961,116.15502166748047,275.49066162109375,62.41165542602539,7.170201301574707,42.95305633544922,88.28409576416016,178.15989685058594,187.289794921875,203.2305145263672,12.895207405090332,292.2467346191406,89.70829772949219,341.9998474121094,201.4933319091797,313.41815185546875,177.07301330566406,46.102012634277344,26.274736404418945,119.52059936523438,3672.820068359375
119.96826171875,121.20860290527344,275.1793518066406,62.497982025146484,6.91981315612793,41.44491958618164,87.77709197998047,179.8812255859375,186.7064208984375,202.00234985351562,12.936593055725098,293.4202880859375,94.16690063476562,341.887939453125,209.02333068847656,313.26953125,177.3336639404297,45.8867073059082,26.320512771606445,119.69355773925781,3668.10009765625
119.1603012084961,119.92100524902344,275.5364685058594,62.308067321777344,6.843936443328857,40.52650451660156,88.13214874267578,178.99705505371094,186.4551544189453,204.63143920898438,12.977479934692383,292.7705078125,92.03141021728516,341.4871520996094,203.3300018310547,312.86962890625,177.01719665527344,45.87421417236328,26.05501365661621,119.44371795654297,3663.4599609375
118.5470199584961,120.28888702392578,273.8608093261719,62.34642791748047,6.760473728179932,40.23646926879883,87.01286315917969,179.20651245117188,190.1885528564453,205.53341674804688,13.272168159484863,294.89459228515625,92.31730651855469,339.958251953125,213.27667236328125,311.43798828125,176.5145721435547,45.452919006347656,25.75290298461914,119.87612915039062,3647.489990234375
124.48507690429688,120.33729553222656,277.0837707519531,62.98269271850586,6.942573070526123,40.275146484375,87.45084381103516,183.6883544921875,192.82705688476562,205.46624755859375,13.323772430419922,298.046875,93.08576202392578,344.55419921875,211.0833282470703,315.74224853515625,178.9346160888672,45.43107223510742,26.19234275817871,121.87488555908203,3694.6201171875
124.41692352294922,119.99845123291016,276.65350341796875,63.22676086425781,6.859112739562988,40.043121337890625,87.25765991210938,183.02786254882812,191.8757781982422,210.4078826904297,13.206099510192871,299.68597412109375,92.27265167236328,345.09490966796875,207.58999633789062,316.2256774902344,179.18594360351562,45.384273529052734,26.23811912536621,122.7012939453125,3701.169921875
