ARKK,DIA,EFA,IWM,QQQ,SPY,VOO,VTI,XLF,XLK
99.55176544189453,260.63201904296875,55.62666320800781,153.08334350585938,281.3739318847656,323.9605712890625,296.7961730957031,165.55918884277344,22.859935760498047,116.72428131103516
99.48399353027344,261.5896911621094,55.8856201171875,152.7071533203125,279.8318176269531,323.76483154296875,296.5452575683594,165.26138305664062,22.87824821472168,116.38796997070312
98.9902572631836,257.98565673828125,55.678443908691406,150.8823699951172,275.2633972167969,318.842529296875,292.0643615722656,162.8971405029297,22.53036117553711,114.25468444824219
97.61552429199219,258.82720947265625,55.95468521118164,151.2115936279297,275.85504150390625,320.1197204589844,293.217041015625,163.46490478515625,22.713455200195312,114.64866638183594
94.82733917236328,257.9306640625,55.68708419799805,149.91354370117188,275.64166259765625,319.5137939453125,292.6872253417969,162.90647888183594,22.59444236755371,114.47571563720703
95.437255859375,259.4675598144531,55.7302360534668,152.500244140625,275.6319580078125,321.2663879394531,294.2955017089844,164.06057739257812,23.04303550720215,113.93759155273438
96.01811981201172,259.18389892578125,56.092796325683594,153.38436889648438,276.1752014160156,322.3570861816406,295.29949951171875,164.60049438476562,23.116268157958984,113.81266784667969
94.10124206542969,253.38442993164062,55.082820892333984,150.0734405517578,272.0335388183594,316.4000244140625,289.8611145019531,161.6126708984375,22.59444236755371,111.34307098388672
95.48565673828125,251.24400329589844,54.65120315551758,148.7848358154297,274.1578063964844,315.30926513671875,288.903564453125,160.96109008789062,22.182470321655273,111.90042877197266
91.72936248779297,242.8465576171875,53.01968765258789,144.20408630371094,263.4691162109375,304.5322265625,278.95648193359375,155.62770080566406,21.614858627319336,107.1534194946289
92.92981719970703,243.86203002929688,53.27002716064453,145.9253692626953,268.07623291015625,307.62738037109375,281.8941345214844,157.09835815429688,21.779651641845703,108.94075775146484
87.89559936523438,242.4623565673828,52.993804931640625,143.9971466064453,261.2771911621094,304.42041015625,278.7240905761719,155.4322967529297,21.843734741210938,106.52880859375
87.90528869628906,246.24940490722656,53.68437576293945,146.5650177001953,261.8591003417969,307.8325500488281,281.9684753417969,157.05178833007812,22.255712509155273,106.79786682128906
90.19004821777344,251.2349090576172,55.09144973754883,150.7224578857422,266.38873291015625,313.2675476074219,286.9421081542969,160.0675506591797,22.750078201293945,108.6812973022461
94.4013671875,254.7657470703125,55.69571304321289,150.89178466796875,278.2798767089844,320.2688293457031,293.40301513671875,163.55799865722656,22.48457908630371,112.9094009399414
97.6058349609375,259.70538330078125,57.033721923828125,155.11508178710938,285.534912109375,326.5150146484375,299.1482238769531,166.936767578125,23.03388023376465,116.41679382324219
98.82566833496094,259.0741271972656,57.15457534790039,153.90167236328125,285.74822998046875,326.4404296875,299.1110534667969,166.85301208496094,22.850780487060547,116.82999420166016
94.32392120361328,266.8495788574219,58.820613861083984,159.47952270507812,279.90936279296875,330.5423583984375,302.8388977050781,168.83560180664062,24.727550506591797,115.98436737060547
91.7390365600586,269.4015808105469,59.3471794128418,162.44239807128906,274.89483642578125,330.0576477050781,302.4483642578125,168.5563507080078,24.855712890625,113.82228088378906
95.58246612548828,269.03570556640625,59.847862243652344,162.37657165527344,281.04412841796875,332.5093994140625,304.5773010253906,169.92459106445312,24.7550106048584,116.52249908447266
95.73737335205078,266.2365417480469,58.97599411010742,159.88397216796875,279.72503662109375,329.2837829589844,301.76055908203125,168.24916076660156,24.343042373657227,115.48469543457031
96.23110961914062,269.98699951171875,59.88238525390625,163.1949005126953,282.178955078125,333.84259033203125,305.8602600097656,170.63201904296875,24.745859146118164,116.46482849121094
96.36664581298828,274.4053955078125,60.503910064697266,167.07960510253906,284.3806457519531,338.00982666015625,309.5694885253906,172.71694946289062,25.29515266418457,117.5891342163086
98.00276947021484,272.87762451171875,60.443477630615234,167.86026000976562,283.47857666015625,336.19189453125,308.0262145996094,172.32603454589844,25.258535385131836,116.93570709228516
97.7994613647461,269.6302795410156,60.12409210205078,165.50875854492188,281.383544921875,332.1458435058594,304.2890930175781,170.50167846679688,25.020505905151367,115.68647766113281
99.96806335449219,270.1516418457031,60.54707717895508,166.778564453125,283.5853271484375,333.5442199707031,305.5627136230469,171.45111083984375,25.1029052734375,116.61859130859375
101.55577087402344,268.1824035644531,60.72834396362305,166.95729064941406,281.64544677734375,331.26019287109375,303.5174255371094,170.5482177734375,24.8831844329834,115.41744232177734
103.99542999267578,271.26287841796875,60.650665283203125,170.08010864257812,281.65521240234375,333.2459411621094,305.31170654296875,171.94439697265625,25.350088119506836,115.38860321044922
102.75624084472656,275.4249572753906,61.557044982910156,173.27818298339844,285.6124267578125,338.61578369140625,310.25738525390625,174.60646057128906,26.238115310668945,116.99335479736328
105.02164459228516,273.8755798339844,61.4793701171875,172.6855926513672,287.36798095703125,338.0937194824219,309.74615478515625,174.5413360595703,26.146568298339844,117.24319458007812
108.2164306640625,274.3340759277344,61.902347564697266,173.41925048828125,290.0158996582031,339.0352783203125,310.6292419433594,175.15562438964844,26.064167022705078,117.86780548095703
108.78762817382812,271.93206787109375,60.55571365356445,170.26824951171875,290.60748291015625,337.5343322753906,309.2347412109375,173.77801513671875,25.524030685424805,118.65577697753906
109.16519165039062,273.6006164550781,61.98004150390625,171.84844970703125,294.3320007324219,341.22607421875,312.6372375488281,175.9840087890625,25.91769790649414,120.17401885986328
108.75857543945312,274.279052734375,61.98867416381836,172.0271453857422,294.71026611328125,341.94390869140625,313.29736328125,176.13294982910156,26.201496124267578,119.991455078125
