AAPL,F,GM,GOOGL,MCD,MSFT,NVDA,SBUX,TSLA,WMT
112.11251068115234,7.170201301574707,44.91557693481445,87.59087371826172,196.01466369628906,205.20716857910156,12.918315887451172,87.83190155029297,185.1266632080078,47.062808990478516
112.94965362548828,6.889463424682617,43.948822021484375,87.60230255126953,195.68458557128906,205.21681213378906,13.194473266601562,87.74256896972656,191.3333282470703,47.20893859863281
113.49480438232422,6.897050380706787,43.56211853027344,88.73895263671875,194.78355407714844,206.52175903320312,13.220890998840332,88.1535873413086,195.25332641601562,47.13742446899414
115.88949584960938,6.889463424682617,42.38267517089844,87.11912536621094,195.14251708984375,205.4086456298828,13.360713958740234,87.58172607421875,189.1999969482422,47.5074462890625
119.46207427978516,7.010861873626709,43.19474792480469,89.15310668945312,193.97581481933594,207.46206665039062,13.349250793457031,88.29652404785156,194.9199981689453,47.46080017089844
119.81251525878906,6.980513095855713,43.09808349609375,90.62345123291016,189.2372283935547,206.6560821533203,13.503279685974121,88.376953125,189.60667419433594,46.8016242980957
119.67622375488281,6.988097667694092,42.62437057495117,90.46803283691406,189.82061767578125,205.5718231201172,13.359175682067871,89.44915008544922,197.7933349609375,46.42228698730469
119.00453186035156,7.086737155914307,42.9240608215332,90.56339263916016,189.12954711914062,205.68692016601562,13.520981788635254,91.3880844116211,199.67999267578125,46.3010139465332
120.46471405029297,6.995687484741211,42.837059020996094,90.22917938232422,187.46925354003906,205.61976623535156,13.569344520568848,90.6107406616211,213.9199981689453,46.052276611328125
121.07801055908203,7.018448829650879,42.34400177001953,89.94613647460938,187.0205535888672,207.27017211914062,13.313302993774414,90.4320068359375,216.6266632080078,46.46892547607422
118.5470199584961,7.170201301574707,42.95305633544922,88.28409576416016,187.289794921875,203.2305145263672,12.895207405090332,89.70829772949219,201.4933319091797,46.102012634277344
119.96826171875,6.91981315612793,41.44491958618164,87.77709197998047,186.7064208984375,202.00234985351562,12.936593055725098,94.16690063476562,209.02333068847656,45.8867073059082
119.1603012084961,6.843936443328857,40.52650451660156,88.13214874267578,186.4551544189453,204.63143920898438,12.977479934692383,92.03141021728516,203.3300018310547,45.87421417236328
118.5470199584961,6.760473728179932,40.23646926879883,87.01286315917969,190.1885528564453,205.53341674804688,13.272168159484863,92.31730651855469,213.27667236328125,45.452919006347656
124.48507690429688,6.942573070526123,40.275146484375,87.45084381103516,192.82705688476562,205.46624755859375,13.323772430419922,93.08576202392578,211.0833282470703,45.43107223510742
124.41692352294922,6.859112739562988,40.043121337890625,87.25765991210938,191.8757781982422,210.4078826904297,13.206099510192871,92.27265167236328,207.58999633789062,45.384273529052734
125.28331756591797,6.889463424682617,40.63284683227539,86.42938995361328,192.2796173095703,210.54217529296875,13.304576873779297,92.21903991699219,218.63333129882812,45.59335708618164
123.29747009277344,6.790823936462402,39.646751403808594,85.71976470947266,193.02452087402344,209.7457733154297,13.235519409179688,92.2815933227539,231.6666717529297,45.546531677246094
124.82579803466797,6.775649070739746,39.84010696411133,86.1339340209961,189.96420288085938,213.58392333984375,13.295601844787598,91.97779846191406,216.6199951171875,45.55278015136719
128.37887573242188,6.669424533843994,39.5404052734375,85.42183685302734,190.1885528564453,214.87936401367188,13.241750717163086,91.50424194335938,213.44667053222656,45.000423431396484
127.48332214355469,6.821173191070557,41.038875579833984,85.81958770751953,190.27828979492188,212.07748413085938,12.973491668701172,91.1915054321289,215.32666015625,44.69458770751953
128.46649169921875,6.722536087036133,40.19780349731445,86.11406707763672,189.71290588378906,213.73748779296875,12.958032608032227,91.14684295654297,220.58999633789062,44.78196334838867
133.06118774414062,6.74530029296875,40.275146484375,88.09042358398438,192.0731964111328,215.85806274414062,12.864541053771973,93.22870635986328,221.22999572753906,45.31873321533203
131.2895050048828,6.692187309265137,40.188133239746094,87.28598022460938,190.8975830078125,215.0808563232422,12.907670021057129,94.38134002685547,221.99667358398438,45.03162384033203
130.17002868652344,6.722536087036133,40.44915771484375,86.21784210205078,189.865478515625,212.7107696533203,13.109615325927734,94.68512725830078,231.5933380126953,44.994178771972656
129.16738891601562,6.669424533843994,40.25580978393555,87.03174591064453,192.5757598876953,213.42083740234375,13.019115447998047,95.58760070800781,235.22332763671875,44.98480987548828
125.97447967529297,6.464561939239502,39.16336441040039,85.71531677246094,188.6628875732422,208.8822021484375,13.077454566955566,92.12073516845703,243.2566680908203,45.7275390625
127.531982421875,6.563199043273926,40.275146484375,86.40653991699219,189.793701171875,209.08370971679688,13.367901802062988,92.42455291748047,245.0366668701172,45.484130859375
123.23905944824219,6.707361221313477,41.551265716552734,85.55392456054688,189.36293029785156,203.6623077392578,12.579825401306152,93.09468841552734,251.9933319091797,45.76811218261719
127.44437408447266,6.874287128448486,41.87996292114258,88.10929870605469,190.24237060546875,209.4579315185547,13.307320594787598,92.34412384033203,272.0133361816406,45.764991760253906
128.5443878173828,6.828760623931885,41.628604888916016,89.27576446533203,193.73350524902344,210.73410034179688,13.240255355834961,94.41705322265625,293.3399963378906,45.75874328613281
125.55584716796875,7.056386947631836,43.51377868652344,87.21298217773438,192.2616729736328,208.69032287597656,13.584057807922363,93.46101379394531,270.39666748046875,45.9647102355957
125.38066864013672,7.420588493347168,46.230369567871094,86.27643585205078,189.90138244628906,206.23382568359375,13.447683334350586,91.87059020996094,283.14666748046875,46.488990783691406
127.41517639160156,7.420588493347168,47.11012268066406,86.76408386230469,190.3411407470703,207.58682250976562,13.494553565979004,91.9331283569336,284.8033447265625,46.0146484375
